Authors,Title,Year,Source title,Volume,Issue,Page start,Cited by,DOI,Affiliations,Abstract,Author Keywords,References,Document Type,Language of Original Document,Publisher,ISSN
Eta F.; Alfa A.,Tax reform revisited: Intergovernmental transfers under Fiscal capacity [registro sintetico 000],2012,International Tax and Public Finance,1,1,1,3,10.5555/exemplo.0000,"Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de fiscal decentralization, subnational debt em entes subnacionais.",fiscal decentralization; subnational debt; fiscal equalization; fiscal federalism; tax effort,"BETA B., 2002, NOVA ECONOMIA, V38, P32; KAPA E., 1994, NATIONAL TAX JOURNAL, V15, P24; IOTA B., 1991, PUBLIUS: THE JOURNAL OF FEDERALISM, V10, P277; BETA E., 1991, REVISTA DE ADMINISTRACAO PUBLICA, V53, P350; GAMA A., 2000, REVISTA DE ADMINISTRACAO PUBLICA, V41, P97; ZETA A., 1999, NOVA ECONOMIA, V5, P289; ALFA E., 1988, PUBLIUS: THE JOURNAL OF FEDERALISM, V44, P273; ETA C., 1996, REVISTA DE ADMINISTRACAO PUBLICA, V60, P233; ZETA C., 1989, GESTION Y POLITICA PUBLICA, V12, P358; DELTA A., 2000, JOURNAL OF PUBLIC ECONOMICS, V34, P254; ZETA F., 1996, JOURNAL OF PUBLIC ECONOMICS, V39, P38; BETA E., 1995, INTERNATIONAL TAX AND PUBLIC FINANCE, V49, P176; GAMA D., 1995, NATIONAL TAX JOURNAL, V43, P40; IOTA E., 2007, GESTION Y POLITICA PUBLICA, V21, P175; ZETA E., 1997, REVISTA DE ADMINISTRACAO PUBLICA, V52, P234; BETA A., 2012, JOURNAL OF PUBLIC ECONOMICS, V31, P357; BETA A., 2005, NOVA ECONOMIA, V20, P332; KAPA F., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V19, P367; ETA F., 1993, NATIONAL TAX JOURNAL, V30, P182; GAMA E., 1985, PUBLIUS: THE JOURNAL OF FEDERALISM, V4, P112; EPSILON B., 2005, INTERNATIONAL TAX AND PUBLIC FINANCE, V26, P201; TETA A., 1987, PUBLIUS: THE JOURNAL OF FEDERALISM, V26, P282; EPSILON B., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V56, P282; EPSILON F., 1995, JOURNAL OF PUBLIC ECONOMICS, V44, P195; DELTA B., 1984, INTERNATIONAL TAX AND PUBLIC FINANCE, V10, P119; DELTA A., 1997, GESTION Y POLITICA PUBLICA, V38, P94",Article,English,Editora Sintetica,09275940
Gama D.,State capacity revisited: Canada under Argentina [registro sintetico 001],2010,Nova Economia,1,1,1,4,10.5555/exemplo.0001,"Georgia State University, Atlanta, United States","Resumo sintetico para teste do pipeline. Trata de subnational debt, fiscal equalization em entes subnacionais.",subnational debt; fiscal equalization; tax reform; regional inequality; intergovernmental transfers,"DELTA A., 1986, PUBLIUS: THE JOURNAL OF FEDERALISM, V11, P57; ZETA E., 1981, NATIONAL TAX JOURNAL, V1, P291; GAMA E., 1983, JOURNAL OF PUBLIC ECONOMICS, V40, P14; BETA B., 1999, PUBLIUS: THE JOURNAL OF FEDERALISM, V10, P325; EPSILON C., 1999, JOURNAL OF PUBLIC ECONOMICS, V31, P63; BETA D., 1994, PUBLIUS: THE JOURNAL OF FEDERALISM, V31, P160; BETA B., 1983, NOVA ECONOMIA, V22, P380; EPSILON D., 2006, NOVA ECONOMIA, V11, P265; ALFA B., 2010, REVISTA DE ADMINISTRACAO PUBLICA, V24, P76",Article,English,Editora Sintetica,01036351
Iota C.,The political economy of Canada: Argentina and the role of Municipal finance [registro sintetico 002],2020,Journal of Public Economics,1,1,1,10,10.5555/exemplo.0002,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de tax reform, fiscal decentralization em entes subnacionais.",tax reform; fiscal decentralization; soft budget constraint; local government; tax effort,"DELTA D., 2013, GESTION Y POLITICA PUBLICA, V15, P103; IOTA D., 2001, NOVA ECONOMIA, V2, P15; EPSILON D., 1998, INTERNATIONAL TAX AND PUBLIC FINANCE, V45, P310; ZETA D., 2015, NOVA ECONOMIA, V23, P187; BETA B., 1993, INTERNATIONAL TAX AND PUBLIC FINANCE, V31, P101; ZETA B., 2005, REVISTA DE ADMINISTRACAO PUBLICA, V58, P313; ALFA D., 2019, NOVA ECONOMIA, V23, P330; BETA F., 1993, PUBLIUS: THE JOURNAL OF FEDERALISM, V51, P365; DELTA D., 2018, INTERNATIONAL TAX AND PUBLIC FINANCE, V28, P326; ZETA A., 2015, NOVA ECONOMIA, V26, P238; ETA F., 2020, NATIONAL TAX JOURNAL, V47, P82; GAMA B., 1990, INTERNATIONAL TAX AND PUBLIC FINANCE, V38, P239; GAMA E., 2016, REVISTA DE ADMINISTRACAO PUBLICA, V31, P337; ZETA B., 2007, REVISTA DE ADMINISTRACAO PUBLICA, V9, P11",Article,English,Editora Sintetica,00472727
Iota F.,Measuring Tax competition across municipalities: Fiscal equalization and Fiscal capacity [registro sintetico 003],1996,Gestion y Politica Publica,1,1,1,79,10.5555/exemplo.0003,"Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de tax competition, tax reform em entes subnacionais.",tax competition; tax reform; revenue sharing,"ETA B., 1971, NOVA ECONOMIA, V23, P235; KAPA E., 1983, GESTION Y POLITICA PUBLICA, V59, P257; GAMA E., 1974, REVISTA DE ADMINISTRACAO PUBLICA, V33, P10; TETA B., 1989, NATIONAL TAX JOURNAL, V50, P77; GAMA B., 1985, REVISTA DE ADMINISTRACAO PUBLICA, V47, P62; IOTA A., 1980, NOVA ECONOMIA, V34, P272; IOTA D., 1995, GESTION Y POLITICA PUBLICA, V7, P287; ALFA B., 1976, JOURNAL OF PUBLIC ECONOMICS, V3, P396; BETA E., 1984, REVISTA DE ADMINISTRACAO PUBLICA, V2, P390; BETA D., 1980, REVISTA DE ADMINISTRACAO PUBLICA, V33, P311; IOTA B., 1992, JOURNAL OF PUBLIC ECONOMICS, V29, P261; IOTA D., 1986, INTERNATIONAL TAX AND PUBLIC FINANCE, V45, P268; EPSILON E., 1976, GESTION Y POLITICA PUBLICA, V29, P71; ETA A., 1982, PUBLIUS: THE JOURNAL OF FEDERALISM, V21, P38; DELTA D., 1972, INTERNATIONAL TAX AND PUBLIC FINANCE, V43, P156; BETA B., 1992, NOVA ECONOMIA, V43, P188; GAMA C., 1974, PUBLIUS: THE JOURNAL OF FEDERALISM, V15, P383; BETA D., 1985, INTERNATIONAL TAX AND PUBLIC FINANCE, V43, P115; GAMA F., 1983, REVISTA DE ADMINISTRACAO PUBLICA, V26, P174; ETA B., 1981, JOURNAL OF PUBLIC ECONOMICS, V6, P370; ZETA A., 1980, REVISTA DE ADMINISTRACAO PUBLICA, V30, P226; ALFA D., 1980, REVISTA DE ADMINISTRACAO PUBLICA, V40, P152; IOTA A., 1973, GESTION Y POLITICA PUBLICA, V15, P54; BETA C., 1978, NATIONAL TAX JOURNAL, V58, P399; GAMA C., 1994, INTERNATIONAL TAX AND PUBLIC FINANCE, V53, P217",Article,English,Editora Sintetica,14054981
Eta B.; Iota E.; Kapa D.,Intergovernmental transfers and Tax effort in subnational governments: evidence from Canada [registro sintetico 004],2023,Publius: The Journal of Federalism,1,1,1,4,10.5555/exemplo.0004,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de subnational debt, fiscal decentralization em entes subnacionais.",subnational debt; fiscal decentralization; local government; fiscal federalism; intergovernmental transfers,"BETA D., 1993, JOURNAL OF PUBLIC ECONOMICS, V36, P214; EPSILON E., 1997, NATIONAL TAX JOURNAL, V34, P364; DELTA A., 1998, JOURNAL OF PUBLIC ECONOMICS, V4, P93; DELTA C., 2013, JOURNAL OF PUBLIC ECONOMICS, V34, P389; DELTA C., 2007, REVISTA DE ADMINISTRACAO PUBLICA, V44, P92; EPSILON C., 2018, NATIONAL TAX JOURNAL, V17, P19; ALFA A., 2016, REVISTA DE ADMINISTRACAO PUBLICA, V36, P98; IOTA D., 2000, PUBLIUS: THE JOURNAL OF FEDERALISM, V7, P338; ETA F., 2008, REVISTA DE ADMINISTRACAO PUBLICA, V54, P202; IOTA C., 2015, INTERNATIONAL TAX AND PUBLIC FINANCE, V15, P176; DELTA F., 2016, NOVA ECONOMIA, V9, P208; ZETA A., 2019, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P37; EPSILON D., 1998, NATIONAL TAX JOURNAL, V6, P341; ETA E., 2014, JOURNAL OF PUBLIC ECONOMICS, V39, P125; EPSILON A., 2007, INTERNATIONAL TAX AND PUBLIC FINANCE, V11, P138; TETA A., 2001, JOURNAL OF PUBLIC ECONOMICS, V22, P281",Article,English,Editora Sintetica,00485950
Epsilon B.,The political economy of Fiscal capacity: Argentina and the role of Fiscal federalism [registro sintetico 005],2012,National Tax Journal,1,1,1,3,10.5555/exemplo.0005,"University of Toronto, Toronto, Canada; Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de intergovernmental transfers, fiscal federalism em entes subnacionais.",intergovernmental transfers; fiscal federalism; subnational debt; tax competition,"ETA E., 1983, PUBLIUS: THE JOURNAL OF FEDERALISM, V2, P154; EPSILON F., 1989, NATIONAL TAX JOURNAL, V38, P271; GAMA F., 2010, NOVA ECONOMIA, V51, P306; ETA C., 2005, PUBLIUS: THE JOURNAL OF FEDERALISM, V10, P146; KAPA F., 1986, NATIONAL TAX JOURNAL, V53, P367; IOTA F., 1995, NOVA ECONOMIA, V45, P259; GAMA E., 2006, REVISTA DE ADMINISTRACAO PUBLICA, V37, P9; KAPA F., 2003, NOVA ECONOMIA, V42, P118; BETA A., 1983, INTERNATIONAL TAX AND PUBLIC FINANCE, V41, P185; BETA D., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V36, P26; ALFA F., 1999, NOVA ECONOMIA, V16, P251; EPSILON A., 1996, GESTION Y POLITICA PUBLICA, V5, P384",Article,English,Editora Sintetica,00280283
Iota A.,Brazil revisited: State capacity under Intergovernmental transfers [registro sintetico 006],2024,International Tax and Public Finance,1,1,1,2,10.5555/exemplo.0006,"Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de soft budget constraint, fiscal capacity em entes subnacionais.",soft budget constraint; fiscal capacity; local government; fiscal decentralization; state capacity,"KAPA F., 2014, INTERNATIONAL TAX AND PUBLIC FINANCE, V5, P308; GAMA C., 2002, NOVA ECONOMIA, V48, P355; EPSILON E., 2012, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P247; ALFA D., 2002, NOVA ECONOMIA, V7, P355; DELTA F., 2009, JOURNAL OF PUBLIC ECONOMICS, V46, P265; EPSILON D., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V50, P61; IOTA B., 2003, NATIONAL TAX JOURNAL, V60, P243; ALFA C., 2008, NATIONAL TAX JOURNAL, V53, P260; TETA C., 2006, INTERNATIONAL TAX AND PUBLIC FINANCE, V59, P108",Article,English,Editora Sintetica,09275940
Gama F.,The political economy of Brazil: Canada and the role of State capacity [registro sintetico 007],2002,Revista de Administracao Publica,1,1,1,28,10.5555/exemplo.0007,"Universidade Federal de Pernambuco, Recife, Brazil; University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de local government, subnational debt em entes subnacionais.",local government; subnational debt; intergovernmental transfers; fiscal equalization; municipal finance,"GAMA D., 1983, PUBLIUS: THE JOURNAL OF FEDERALISM, V21, P62; ZETA A., 1982, GESTION Y POLITICA PUBLICA, V22, P204; BETA B., 1994, NATIONAL TAX JOURNAL, V58, P379; EPSILON C., 1983, NATIONAL TAX JOURNAL, V26, P200; KAPA A., 1983, PUBLIUS: THE JOURNAL OF FEDERALISM, V49, P141; ALFA C., 1975, NATIONAL TAX JOURNAL, V54, P339; EPSILON F., 2001, INTERNATIONAL TAX AND PUBLIC FINANCE, V16, P137; ETA E., 1982, INTERNATIONAL TAX AND PUBLIC FINANCE, V50, P192; ETA A., 1997, GESTION Y POLITICA PUBLICA, V41, P205; IOTA E., 1978, NOVA ECONOMIA, V6, P26; ETA D., 1991, GESTION Y POLITICA PUBLICA, V9, P330; EPSILON D., 1973, REVISTA DE ADMINISTRACAO PUBLICA, V9, P88; TETA D., 1982, JOURNAL OF PUBLIC ECONOMICS, V20, P131; EPSILON D., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V20, P248; IOTA F., 1984, NATIONAL TAX JOURNAL, V11, P330; GAMA A., 1978, REVISTA DE ADMINISTRACAO PUBLICA, V58, P255; IOTA B., 1986, JOURNAL OF PUBLIC ECONOMICS, V49, P231",Article,English,Editora Sintetica,00347612
Delta A.; Gama C.,State capacity revisited: Tax reform under Tax competition [registro sintetico 008],2015,Gestion y Politica Publica,1,1,1,9,10.5555/exemplo.0008,"Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de fiscal decentralization, subnational debt em entes subnacionais.",fiscal decentralization; subnational debt; revenue sharing; tax reform; local government,"TETA C., 2003, JOURNAL OF PUBLIC ECONOMICS, V9, P352; IOTA E., 2005, GESTION Y POLITICA PUBLICA, V56, P111; BETA C., 2013, INTERNATIONAL TAX AND PUBLIC FINANCE, V25, P205; TETA D., 2015, JOURNAL OF PUBLIC ECONOMICS, V55, P12; GAMA A., 1998, NOVA ECONOMIA, V49, P243; KAPA D., 1985, NATIONAL TAX JOURNAL, V26, P271; TETA D., 1992, GESTION Y POLITICA PUBLICA, V7, P115; GAMA B., 2001, NOVA ECONOMIA, V7, P370; TETA A., 2002, GESTION Y POLITICA PUBLICA, V3, P1",Article,English,Editora Sintetica,14054981
Kapa A.; Epsilon B.,The political economy of State capacity: Tax effort and the role of Fiscal capacity [registro sintetico 009],2022,National Tax Journal,1,1,1,5,10.5555/exemplo.0009,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de local government, tax effort em entes subnacionais.",local government; tax effort; municipal finance; tax competition; fiscal decentralization,"ZETA F., 2018, INTERNATIONAL TAX AND PUBLIC FINANCE, V31, P270; DELTA E., 1999, NATIONAL TAX JOURNAL, V27, P361; EPSILON A., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V32, P346; ETA A., 2000, INTERNATIONAL TAX AND PUBLIC FINANCE, V43, P218; ZETA B., 2007, NATIONAL TAX JOURNAL, V45, P174; ETA C., 2013, PUBLIUS: THE JOURNAL OF FEDERALISM, V13, P4; EPSILON F., 2019, REVISTA DE ADMINISTRACAO PUBLICA, V5, P106; TETA B., 2001, GESTION Y POLITICA PUBLICA, V53, P100; DELTA D., 1999, JOURNAL OF PUBLIC ECONOMICS, V49, P152; BETA E., 2007, REVISTA DE ADMINISTRACAO PUBLICA, V12, P115; TETA D., 2021, NOVA ECONOMIA, V4, P305; GAMA D., 1993, INTERNATIONAL TAX AND PUBLIC FINANCE, V2, P306; GAMA D., 1993, NOVA ECONOMIA, V4, P95; ETA D., 2020, NOVA ECONOMIA, V57, P161; BETA A., 2021, INTERNATIONAL TAX AND PUBLIC FINANCE, V22, P98; GAMA F., 2021, REVISTA DE ADMINISTRACAO PUBLICA, V48, P240",Article,English,Editora Sintetica,00280283
